seller_id,total_orders,total_revenue,avg_review,late_rate,avg_delay_days,pct_low_reviews,seller_tier
001cca7ae9ae17fb1caed9dfb1094831,194,24347.13,4.08,0.06,-12.81,0.13,B — Good
002100f778ceb8431b7a1020ff7ab48f,49,1297.7,3.94,0.18,-8.0,0.14,C — Average
004c9cd9d87a3c30c522c48c4fc07416,155,19451.74,4.16,0.06,-11.7,0.12,B — Good
00720abe85ba0859807595bbf045a33b,13,1053.4,3.62,0.15,-7.77,0.23,C — Average
00ee68308b45bc5e2660cd833c3f81cc,133,20117.89,4.3,0.08,-10.76,0.11,B — Good
00fc707aaaad2d31347cf883cd2dfe10,102,12832.7,4.09,0.04,-15.47,0.15,A — Excellent
013900e863eace745d3ec7614cab5b1a,23,1619.7,4.7,0.0,-15.48,0.04,A — Excellent
014c0679dd340a0e338872e7ec85666a,14,7058.0,3.86,0.14,-11.07,0.14,C — Average
014d9a685fd57276679edd00e07089e5,10,758.86,4.0,0.0,-12.0,0.1,A — Excellent
0176f73cc1195f367f7b32db1e5b3aa8,36,4712.6,4.08,0.11,-9.14,0.17,C — Average
01bcc9d254a0143f0ce9791b960b2a47,10,1393.21,4.4,0.0,-18.3,0.0,A — Excellent
01cf7e3d21494c41fb86034f2e714fa1,59,9439.56,4.12,0.05,-15.15,0.12,A — Excellent
01fd077212124329bac32490e8ef80d9,31,1372.0,4.16,0.03,-11.26,0.16,A — Excellent
01fdefa7697d26ad920e9e0346d4bd1b,128,14842.53,4.38,0.05,-13.74,0.05,A — Excellent
0241d4d5d36f10f80c644447315af0bd,230,30694.88,4.4,0.05,-12.93,0.09,A — Excellent
0249d282d911d23cb8b869ab49c99f53,11,427.6,4.27,0.18,-8.36,0.18,C — Average
02c988090b766852e088c69d7fb3b551,12,1564.37,4.58,0.0,-11.08,0.08,A — Excellent
02d35243ea2e497335cd0f076b45675d,14,6540.9,2.64,0.29,-6.14,0.43,D — Needs intervention
02dcd3e8e25bee036e32512bcf175493,13,1341.9,4.08,0.31,-6.31,0.23,D — Needs intervention
02ecc2a19303f05e59ce133fd923fff7,21,5361.19,4.62,0.0,-14.95,0.05,A — Excellent
